IdEmpresa,NombreEmpresa,MAE,MAPE,R2
11,E.E. Ambato,568.0947222916672,1.0165148158742423,0.6725035665028014
178,E.E. Riobamba,335.85237896875,1.0617232810152866,0.9278780977251104
142,E.E. Norte,519.9805751979171,1.0919925856373345,0.7516318076423603
191,CNEL-Sto. Domingo,658.8866319479157,1.1370059061418298,0.8574857780901248
130,CNEL-Los Ríos,401.51736133333316,1.2129163396227909,0.945205862562375
20,CNEL-Bolívar,98.5571700846355,1.3293263317873358,0.2828189012993487
30,E.E. Centro Sur,1227.6748510000004,1.3444156910712581,0.6452048190669581
174,E.E. Quito,5189.149056166662,1.452979540827133,0.21389745480607358
72,CNEL-Esmeraldas,612.2224744791665,1.5720024620343382,0.897886347232099
136,CNEL-Milagro,1063.6541369895833,1.7510033523864068,0.9377092175299878
35,E.E. Cotopaxi,881.7865132916668,1.8930903404707151,0.7495333873221273
192,CNEL-Sucumbíos,1041.4623646354178,1.8961509638318677,0.9462130239549427
26,CNEL-Guayaquil,8459.258357208331,2.05443749219174,0.7051783083333523
189,CNEL-Sta. Elena,1123.553679927083,2.0792217466064797,0.8527975201159558
54,CNEL-El Oro,1889.222843875,2.1092919595238997,0.8431594164584495
17,E.E. Azogues,204.60148985416652,2.357481675079611,0.8739882083829498
134,CNEL-Manabí,4238.829412520833,3.5665303720832666,0.1762056790999884
193,E.E. Sur,1329.6127211718747,3.571564532359662,0.8890605487676763
87,CNEL-Guayas Los Ríos,41620.34808520833,19.05782898022101,-17.52443139141734
